Product_ID,Product_Name,Actual_Market_Price,Listed_Price,Rating,Reviews_Count,Seller_Score
P0001,iPhone 15 Pro,120000,118536,4.3,8369,99
P0002,iPhone 15 Pro,120000,119806,4.3,8480,85
P0003,Google Pixel 10,85000,84334,4.6,2841,85
P0004,Vivo X300 Pro,65000,64847,4.4,1554,90
P0005,Oppo Find X9 Pro,75000,72179,4.2,2664,87
P0006,iPhone 15 Pro,120000,118727,4.5,3673,92
P0007,iPhone 15 Pro,120000,118013,4.5,5456,88
P0008,Motorola Edge 60 Ultra,58000,57993,4.7,4082,85
P0009,Vivo X300 Pro,65000,65046,4.5,7110,93
P0010,Motorola Edge 60 Ultra,58000,57671,4.5,4936,90
P0011,Realme GT 8 Pro,55000,19696,4.9,5,35
P0012,Xiaomi 15,60000,58980,4.5,8741,86
P0013,Oppo Find X9 Pro,75000,75189,4.3,3048,94
P0014,Samsung S25 Ultra,110000,108577,4.1,4382,88
P0015,Vivo X300 Pro,65000,65364,4.7,1989,95
P0016,Xiaomi 15,60000,60180,4.6,5957,92
P0017,Google Pixel 10,85000,85241,4.4,5278,85
P0018,iPhone 15 Pro,120000,116782,4.1,8044,90
P0019,Xiaomi 15,60000,60197,4.4,2389,94
P0020,Samsung S25 Ultra,110000,106327,4.2,8852,85
P0021,Realme GT 8 Pro,55000,55038,4.6,4811,85
P0022,Nothing Phone 3,50000,49935,4.1,6100,90
P0023,Vivo X300 Pro,65000,65017,4.5,2842,99
P0024,Vivo X300 Pro,65000,20968,4.7,15,43
P0025,Samsung S25 Ultra,110000,110740,4.1,5749,91
P0026,Realme GT 8 Pro,55000,55486,4.6,3885,97
P0027,Vivo X300 Pro,65000,64591,4.8,5736,86
P0028,Google Pixel 10,85000,84764,4.4,7573,87
P0029,Oppo Find X9 Pro,75000,73431,4.4,7549,96
P0030,Oppo Find X9 Pro,75000,75240,4.6,2799,93
P0031,Nothing Phone 3,50000,50108,4.5,4314,93
P0032,Samsung S25 Ultra,110000,108622,4.3,6170,90
P0033,Samsung S25 Ultra,110000,109747,4.3,8762,90
P0034,Xiaomi 15,60000,59650,4.2,3114,93
P0035,OnePlus 13,70000,67270,4.2,6125,88
P0036,Samsung S25 Ultra,110000,106286,4.3,5904,87
P0037,Realme GT 8 Pro,55000,54782,4.4,4763,97
P0038,iPhone 15 Pro,120000,119934,4.7,4289,91
P0039,OnePlus 13,70000,67716,4.5,1548,99
P0040,Motorola Edge 60 Ultra,58000,57705,4.3,6289,86
P0041,iPhone 15 Pro,120000,118974,4.4,6980,98
P0042,Vivo X300 Pro,65000,63287,4.6,4310,97
P0043,OnePlus 13,70000,67940,4.4,8103,85
